browser,browser_version,id,label,format,median_t85,p10_t85,p90_t85,median_t95,p10_t95,p90_t95,median_visIndex,p10_visIndex,p90_visIndex,notes,n_runs,errors
chromium,"141.0.7390.37",jpeg-baseline,"JPEG Baseline",jpeg,2389,2371,2407,2389,2371,2407,0.6185499999999999,0.60691,0.63019,"",2,""
chromium,"141.0.7390.37",jpeg-progressive,"JPEG Progressive",jpeg,1317,1311,1323,1317,1311,1323,0.3465,0.3445,0.3485,"",2,""
chromium,"141.0.7390.37",webp,"WebP",webp,3300,3290,3310,3300,3290,3310,0.77875,0.77631,0.78119,"",2,""
chromium,"141.0.7390.37",avif,"AVIF",avif,2129,2127,2131,2129,2127,2131,0.7244999999999999,0.71194,0.7370599999999999,"",2,""
chromium,"141.0.7390.37",avif-progressive,"AVIF (progressive)",avif,1311,1308,1314,1311,1308,1314,0.25325,0.25193,0.25457,"single-input progressive",2,""
chromium,"141.0.7390.37",jxl,"JPEG XL",jxl,352,350,354,352,350,354,0.02275,0.02271,0.022789999999999998,"",2,""
chromium,"141.0.7390.37",jxl-progressive,"JPEG XL (progressive)",jxl,363,355,371,363,355,371,0.023350000000000003,0.02283,0.023870000000000002,"",2,""
chromium,"141.0.7390.37",png-interlaced,"PNG (Adam7)",png,87,87,87,87,87,87,0,0,0,"",2,""
firefox,"142.0.1",jpeg-baseline,"JPEG Baseline",jpeg,440,205,674,440,205,674,0.2062,0.04124,0.37116,"",2,""
firefox,"142.0.1",jpeg-progressive,"JPEG Progressive",jpeg,157,149,164,157,149,164,0.04505,0.00901,0.08109,"",2,""
firefox,"142.0.1",webp,"WebP",webp,453,209,696,453,209,696,0.24545,0.04909,0.44181000000000004,"",2,""
firefox,"142.0.1",avif,"AVIF",avif,447,205,689,447,205,689,0.24415,0.048830000000000005,0.43947,"",2,""
firefox,"142.0.1",avif-progressive,"AVIF (progressive)",avif,920,309,1531,920,309,1531,0.3467,0.06934,0.6240600000000001,"single-input progressive",2,""
firefox,"142.0.1",jxl,"JPEG XL",jxl,68,62,74,68,62,74,0,0,0,"",2,""
firefox,"142.0.1",jxl-progressive,"JPEG XL (progressive)",jxl,74,73,74,74,73,74,0,0,0,"",2,""
firefox,"142.0.1",png-interlaced,"PNG (Adam7)",png,3149,759,5539,3149,759,5539,0.25445,0.050890000000000005,0.45801000000000003,"",2,""
webkit,"26.0",jpeg-baseline,"JPEG Baseline",jpeg,725,251,1199,725,251,1199,0.3044,0.060880000000000004,0.5479200000000001,"",2,""
webkit,"26.0",jpeg-progressive,"JPEG Progressive",jpeg,383,185,581,383,185,581,0.2104,0.042080000000000006,0.37872,"",2,""
webkit,"26.0",webp,"WebP",webp,773,265,1281,773,265,1281,0.31735,0.06347000000000001,0.57123,"",2,""
webkit,"26.0",avif,"AVIF",avif,424,194,654,424,194,654,0.2282,0.04564,0.41075999999999996,"",2,""
webkit,"26.0",avif-progressive,"AVIF (progressive)",avif,74,62,86,74,62,86,0,0,0,"single-input progressive",2,""
webkit,"26.0",jxl,"JPEG XL",jxl,456,200,712,456,200,712,0.24145,0.04829,0.43461,"",2,""
webkit,"26.0",jxl-progressive,"JPEG XL (progressive)",jxl,447,181,712,447,181,712,0.24175,0.048350000000000004,0.43515,"",2,""
webkit,"26.0",png-interlaced,"PNG (Adam7)",png,5620,1210,10029,5620,1210,10029,0.46385,0.09277,0.83493,"",2,""
