browser,browser_version,id,label,format,median_t85,p10_t85,p90_t85,median_t95,p10_t95,p90_t95,median_visIndex,p10_visIndex,p90_visIndex,notes,n_runs,errors
chromium,"141.0.7390.37",jpeg-baseline,"JPEG Baseline",jpeg,2341,2338,2344,2341,2338,2344,0.601,0.6000399999999999,0.60196,"",2,""
chromium,"141.0.7390.37",jpeg-progressive,"JPEG Progressive",jpeg,1307,1294,1320,1307,1294,1320,0.34004999999999996,0.33409,0.34601,"",2,""
chromium,"141.0.7390.37",webp,"WebP",webp,3337,3307,3367,3337,3307,3367,0.7900499999999999,0.77817,0.80193,"",2,""
chromium,"141.0.7390.37",avif,"AVIF",avif,2120,2115,2125,2120,2115,2125,0.717,0.717,0.717,"",2,""
chromium,"141.0.7390.37",avif-progressive,"AVIF (progressive)",avif,1311,1311,1311,1311,1311,1311,0.2536,0.2524,0.25479999999999997,"single-input progressive",2,""
chromium,"141.0.7390.37",jxl,"JPEG XL",jxl,354,351,356,354,351,356,0.02265,0.02261,0.02269,"",2,""
chromium,"141.0.7390.37",jxl-progressive,"JPEG XL (progressive)",jxl,359,357,360,359,357,360,0.022600000000000002,0.022520000000000002,0.02268,"",2,""
chromium,"141.0.7390.37",png-interlaced,"PNG (Adam7)",png,86,85,87,86,85,87,0,0,0,"",2,""
firefox,"142.0.1",jpeg-baseline,"JPEG Baseline",jpeg,470,223,716,470,223,716,0.2207,0.044140000000000006,0.39726,"",2,""
firefox,"142.0.1",jpeg-progressive,"JPEG Progressive",jpeg,156,146,165,156,146,165,0.0455,0.0091,0.0819,"",2,""
firefox,"142.0.1",webp,"WebP",webp,461,209,713,461,209,713,0.2457,0.04914,0.44226,"",2,""
firefox,"142.0.1",avif,"AVIF",avif,440,206,674,440,206,674,0.20435,0.040870000000000004,0.36783,"",2,""
firefox,"142.0.1",avif-progressive,"AVIF (progressive)",avif,928,306,1550,928,306,1550,0.34815,0.06963000000000001,0.6266700000000001,"single-input progressive",2,""
firefox,"142.0.1",jxl,"JPEG XL",jxl,68,62,74,68,62,74,0,0,0,"",2,""
firefox,"142.0.1",jxl-progressive,"JPEG XL (progressive)",jxl,74,73,75,74,73,75,0,0,0,"",2,""
firefox,"142.0.1",png-interlaced,"PNG (Adam7)",png,3112,750,5474,3112,750,5474,0.253,0.050600000000000006,0.4554,"",2,""
webkit,"26.0",jpeg-baseline,"JPEG Baseline",jpeg,698,244,1152,698,244,1152,0.30345,0.06069,0.54621,"",2,""
webkit,"26.0",jpeg-progressive,"JPEG Progressive",jpeg,376,183,568,376,183,568,0.2164,0.043280000000000006,0.38952000000000003,"",2,""
webkit,"26.0",webp,"WebP",webp,773,260,1285,773,260,1285,0.3205,0.0641,0.5769000000000001,"",2,""
webkit,"26.0",avif,"AVIF",avif,424,195,652,424,195,652,0.2294,0.045880000000000004,0.41292,"",2,""
webkit,"26.0",avif-progressive,"AVIF (progressive)",avif,886,283,1488,886,283,1488,0.3374,0.06748,0.60732,"single-input progressive",2,""
webkit,"26.0",jxl,"JPEG XL",jxl,442,174,709,442,174,709,0.2452,0.04904,0.44136000000000003,"",2,""
webkit,"26.0",jxl-progressive,"JPEG XL (progressive)",jxl,439,178,700,439,178,700,0.2436,0.048720000000000006,0.43848000000000004,"",2,""
webkit,"26.0",png-interlaced,"PNG (Adam7)",png,5548,1180,9915,5548,1180,9915,0.46,0.09200000000000001,0.8280000000000001,"",2,""
