browser,browser_version,id,label,format,median_t85,p10_t85,p90_t85,median_t95,p10_t95,p90_t95,median_visIndex,p10_visIndex,p90_visIndex,notes,n_runs,errors
chromium,"141.0.7390.37",jpeg-baseline,"JPEG Baseline",jpeg,2312,2276,2380,2312,2276,2380,0.6026,0.58822,0.60748,"",5,""
chromium,"141.0.7390.37",jpeg-progressive,"JPEG Progressive",jpeg,1301,1297,1317,1301,1297,1317,0.3447,0.34349999999999997,0.34812,"",5,""
chromium,"141.0.7390.37",webp,"WebP",webp,3309,3298,3353,3309,3298,3353,0.7763,0.77528,0.79318,"",5,""
chromium,"141.0.7390.37",avif,"AVIF",avif,2126,2114,2138,2126,2114,2138,0.7175,0.7154,0.73334,"",5,""
chromium,"141.0.7390.37",avif-progressive,"AVIF (progressive)",avif,1298,1296,1321,1298,1296,1321,0.2526,0.25174,0.25728,"single-input progressive",5,""
chromium,"141.0.7390.37",jxl,"JPEG XL",jxl,353,350,356,353,350,356,0.0226,0.0225,0.02266,"",5,""
chromium,"141.0.7390.37",jxl-progressive,"JPEG XL (progressive)",jxl,356,355,369,356,355,369,0.0226,0.0224,0.02358,"",5,""
chromium,"141.0.7390.37",png-interlaced,"PNG (Adam7)",png,92,90,94,92,90,94,0,0,0,"",5,""
firefox,"142.0.1",jpeg-baseline,"JPEG Baseline",jpeg,106,105,512,106,105,512,0,0,0.24630000000000002,"",5,""
firefox,"142.0.1",jpeg-progressive,"JPEG Progressive",jpeg,108,105,143,108,105,143,0,0,0.05268000000000001,"",5,""
firefox,"142.0.1",webp,"WebP",webp,112,108,546,112,108,546,0,0,0.29886,"",5,""
firefox,"142.0.1",avif,"AVIF",avif,107,106,480,107,106,480,0,0,0.27720000000000006,"",5,""
firefox,"142.0.1",avif-progressive,"AVIF (progressive)",avif,108,107,1021,108,107,1021,0,0,0.40254000000000006,"single-input progressive",5,""
firefox,"142.0.1",jxl,"JPEG XL",jxl,62,62,64,62,62,64,0,0,0,"",5,""
firefox,"142.0.1",jxl-progressive,"JPEG XL (progressive)",jxl,63,61,65,63,61,65,0,0,0,"",5,""
firefox,"142.0.1",png-interlaced,"PNG (Adam7)",png,109,107,3734,109,107,3734,0,0,0.30588000000000004,"",5,""
webkit,"26.0",jpeg-baseline,"JPEG Baseline",jpeg,85,84,803,85,84,803,0,0,0.37068000000000006,"",5,""
webkit,"26.0",jpeg-progressive,"JPEG Progressive",jpeg,85,82,412,85,82,412,0,0,0.25794000000000006,"",5,""
webkit,"26.0",webp,"WebP",webp,86,85,884,86,85,884,0,0,0.38310000000000005,"",5,""
webkit,"26.0",avif,"AVIF",avif,85,83,469,85,83,469,0,0,0.27744,"",5,""
webkit,"26.0",avif-progressive,"AVIF (progressive)",avif,86,71,89,86,71,89,0,0,0,"single-input progressive",5,""
webkit,"26.0",jxl,"JPEG XL",jxl,86,84,504,86,84,504,0,0,0.29034000000000004,"",5,""
webkit,"26.0",jxl-progressive,"JPEG XL (progressive)",jxl,86,84,508,86,84,508,0,0,0.29064000000000006,"",5,""
webkit,"26.0",png-interlaced,"PNG (Adam7)",png,88,86,6698,88,86,6698,0,0,0.5584800000000001,"",5,""
