browser,browser_version,id,label,format,median_t85,p10_t85,p90_t85,median_t95,p10_t95,p90_t95,median_visIndex,p10_visIndex,p90_visIndex,notes,n_runs,errors
chromium,"141.0.7390.37",jpeg-baseline,"JPEG Baseline",jpeg,2378,2347,2396,2378,2347,2396,0.6074,0.60004,0.6311,"",5,""
chromium,"141.0.7390.37",jpeg-progressive,"JPEG Progressive",jpeg,1294,1291,1304,1294,1291,1304,0.3331,0.33264,0.33942000000000005,"",5,""
chromium,"141.0.7390.37",webp,"WebP",webp,3301,3299,3342,3301,3299,3342,0.7755,0.77528,0.8004800000000001,"",5,""
chromium,"141.0.7390.37",avif,"AVIF",avif,2116,2111,2137,2116,2111,2137,0.719,0.7155400000000001,0.73564,"",5,""
chromium,"141.0.7390.37",avif-progressive,"AVIF (progressive)",avif,1298,1297,1316,1298,1297,1316,0.2529,0.25166,0.25548000000000004,"single-input progressive",5,""
chromium,"141.0.7390.37",jxl,"JPEG XL",jxl,355,340,355,355,340,355,0.0225,0.021560000000000003,0.022760000000000002,"",5,""
chromium,"141.0.7390.37",jxl-progressive,"JPEG XL (progressive)",jxl,358,356,367,358,356,367,0.0226,0.022379999999999997,0.023440000000000003,"",5,""
chromium,"141.0.7390.37",png-interlaced,"PNG (Adam7)",png,88,85,91,88,85,91,0,0,0,"",5,""
firefox,"142.0.1",jpeg-baseline,"JPEG Baseline",jpeg,109,108,525,109,108,525,0,0,0.24648000000000003,"",5,""
firefox,"142.0.1",jpeg-progressive,"JPEG Progressive",jpeg,118,109,150,118,109,150,0,0,0.05676000000000001,"",5,""
firefox,"142.0.1",webp,"WebP",webp,111,110,562,111,110,562,0,0,0.30018,"",5,""
firefox,"142.0.1",avif,"AVIF",avif,109,108,504,109,108,504,0,0,0.27714000000000005,"",5,""
firefox,"142.0.1",avif-progressive,"AVIF (progressive)",avif,112,110,1042,112,110,1042,0,0,0.40002000000000004,"single-input progressive",5,""
firefox,"142.0.1",jxl,"JPEG XL",jxl,64,61,67,64,61,67,0,0,0,"",5,""
firefox,"142.0.1",jxl-progressive,"JPEG XL (progressive)",jxl,77,69,77,77,69,77,0,0,0,"",5,""
firefox,"142.0.1",png-interlaced,"PNG (Adam7)",png,111,109,3729,111,109,3729,0,0,0.30600000000000005,"",5,""
webkit,"26.0",jpeg-baseline,"JPEG Baseline",jpeg,85,84,824,85,84,824,0,0,0.37368000000000007,"",5,""
webkit,"26.0",jpeg-progressive,"JPEG Progressive",jpeg,86,83,420,86,83,420,0,0,0.26010000000000005,"",5,""
webkit,"26.0",webp,"WebP",webp,86,85,883,86,85,883,0,0,0.38166000000000005,"",5,""
webkit,"26.0",avif,"AVIF",avif,87,85,475,87,85,475,0,0,0.27732000000000007,"",5,""
webkit,"26.0",avif-progressive,"AVIF (progressive)",avif,86,69,92,86,69,92,0,0,0,"single-input progressive",5,""
webkit,"26.0",jxl,"JPEG XL",jxl,86,85,507,86,85,507,0,0,0.29058000000000006,"",5,""
webkit,"26.0",jxl-progressive,"JPEG XL (progressive)",jxl,85,84,509,85,84,509,0,0,0.29028000000000004,"",5,""
webkit,"26.0",png-interlaced,"PNG (Adam7)",png,86,86,6680,86,86,6680,0,0,0.5549400000000001,"",5,""
